Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
1997-02-03,22.43,22.43,22.43,22.43
1997-02-04,22.55,22.55,22.55,22.55
1997-02-05,22.63,22.63,22.63,22.63
1997-02-06,22.5,22.5,22.5,22.5
1997-02-07,22.5,22.5,22.5,22.5
1997-02-10,22.52,22.52,22.52,22.52
1997-02-11,22.55,22.55,22.55,22.55
1997-02-12,22.67,22.67,22.67,22.67
1997-02-13,22.71,22.71,22.71,22.71
1997-02-14,22.67,22.67,22.67,22.67
1997-02-17,22.63,22.63,22.63,22.63
1997-02-18,22.63,22.63,22.63,22.63
1997-02-19,22.55,22.55,22.55,22.55
1997-02-20,22.51,22.51,22.51,22.51
1997-02-21,22.54,22.54,22.54,22.54
1997-02-24,22.52,22.52,22.52,22.52
1997-02-25,22.53,22.53,22.53,22.53
1997-02-26,22.55,22.55,22.55,22.55
1997-02-27,22.55,22.55,22.55,22.55
1997-02-28,22.6,22.6,22.6,22.6
1997-03-03,22.63,22.63,22.63,22.63
1997-03-04,22.58,22.58,22.58,22.58
1997-03-05,22.53,22.53,22.53,22.53
1997-03-06,22.52,22.52,22.52,22.52
1997-03-07,22.52,22.52,22.52,22.52
1997-03-10,22.52,22.52,22.52,22.52
1997-03-11,22.52,22.52,22.52,22.52
1997-03-12,22.48,22.48,22.48,22.48
1997-03-13,22.46,22.46,22.46,22.46
1997-03-14,22.47,22.47,22.47,22.47
1997-03-17,22.47,22.47,22.47,22.47
1997-03-18,22.47,22.47,22.47,22.47
1997-03-19,22.47,22.47,22.47,22.47
1997-03-20,22.47,22.47,22.47,22.47
1997-03-21,22.58,22.58,22.58,22.58
1997-03-24,22.59,22.59,22.59,22.59
1997-03-25,22.59,22.59,22.59,22.59
1997-03-26,22.68,22.68,22.68,22.68
1997-03-27,22.76,22.76,22.76,22.76
1997-04-01,22.8,22.8,22.8,22.8
1997-04-02,22.8,22.8,22.8,22.8
1997-04-03,22.77,22.77,22.77,22.77
1997-04-04,22.79,22.79,22.79,22.79
1997-04-07,22.77,22.77,22.77,22.77
1997-04-08,22.77,22.77,22.77,22.77
1997-04-09,22.82,22.82,22.82,22.82
1997-04-10,22.83,22.83,22.83,22.83
1997-04-11,22.82,22.82,22.82,22.82
1997-04-14,22.8,22.8,22.8,22.8
1997-04-15,22.78,22.78,22.78,22.78
1997-04-16,22.76,22.76,22.76,22.76
1997-04-17,22.72,22.72,22.72,22.72
1997-04-18,22.68,22.68,22.68,22.68
1997-04-21,22.65,22.65,22.65,22.65
1997-04-22,22.57,22.57,22.57,22.57
1997-04-23,22.58,22.58,22.58,22.58
1997-04-24,22.5,22.5,22.5,22.5
1997-04-25,22.52,22.52,22.52,22.52
1997-04-28,22.6,22.6,22.6,22.6
1997-04-29,22.69,22.69,22.69,22.69
1997-04-30,22.87,22.87,22.87,22.87
1997-05-01,22.87,22.87,22.87,22.87
1997-05-02,22.87,22.87,22.87,22.87
1997-05-06,22.9,22.9,22.9,22.9
1997-05-07,22.84,22.84,22.84,22.84
1997-05-08,22.85,22.85,22.85,22.85
1997-05-09,22.75,22.75,22.75,22.75
1997-05-12,22.74,22.74,22.74,22.74
1997-05-13,22.72,22.72,22.72,22.72
1997-05-14,22.71,22.71,22.71,22.71
1997-05-15,22.65,22.65,22.65,22.65
1997-05-16,22.65,22.65,22.65,22.65
1997-05-19,22.62,22.62,22.62,22.62
1997-05-20,22.6,22.6,22.6,22.6
1997-05-21,22.6,22.6,22.6,22.6
1997-05-22,22.62,22.62,22.62,22.62
1997-05-23,22.63,22.63,22.63,22.63
1997-05-27,22.93,22.93,22.93,22.93
1997-05-28,22.89,22.89,22.89,22.89
1997-05-29,22.89,22.89,22.89,22.89
1997-05-30,22.8,22.8,22.8,22.8
1997-06-02,22.77,22.77,22.77,22.77
1997-06-03,22.75,22.75,22.75,22.75
1997-06-04,22.74,22.74,22.74,22.74
1997-06-05,22.65,22.65,22.65,22.65
1997-06-06,22.62,22.62,22.62,22.62
1997-06-09,22.61,22.61,22.61,22.61
1997-06-10,22.59,22.59,22.59,22.59
1997-06-11,22.57,22.57,22.57,22.57
1997-06-12,22.56,22.56,22.56,22.56
1997-06-13,22.57,22.57,22.57,22.57
1997-06-16,22.55,22.55,22.55,22.55
1997-06-17,22.55,22.55,22.55,22.55
1997-06-18,22.55,22.55,22.55,22.55
1997-06-19,22.55,22.55,22.55,22.55
1997-06-20,22.52,22.52,22.52,22.52
1997-06-23,22.55,22.55,22.55,22.55
1997-06-24,22.54,22.54,22.54,22.54
1997-06-25,22.56,22.56,22.56,22.56
1997-06-26,22.58,22.58,22.58,22.58
1997-06-27,22.58,22.58,22.58,22.58
1997-06-30,22.58,22.58,22.58,22.58
1997-07-01,22.63,22.63,22.63,22.63
1997-07-02,22.65,22.65,22.65,22.65
1997-07-03,22.65,22.65,22.65,22.65
1997-07-04,22.66,22.66,22.66,22.66
1997-07-07,22.85,22.85,22.85,22.85
1997-07-08,22.88,22.88,22.88,22.88
1997-07-09,22.94,22.94,22.94,22.94
1997-07-10,22.96,22.96,22.96,22.96
1997-07-11,23.12,23.12,23.12,23.12
1997-07-14,23.23,23.23,23.23,23.23
1997-07-15,23.87,23.87,23.87,23.87
1997-07-16,24.29,24.29,24.29,24.29
1997-07-17,24.35,24.35,24.35,24.35
1997-07-18,25,25,25,25
1997-07-21,25.03,25.03,25.03,25.03
1997-07-22,25.05,25.05,25.05,25.05
1997-07-23,25.01,25.01,25.01,25.01
1997-07-24,24.96,24.96,24.96,24.96
1997-07-25,24.76,24.76,24.76,24.76
1997-07-28,24.29,24.29,24.29,24.29
1997-07-29,24.62,24.62,24.62,24.62
1997-07-30,25.36,25.36,25.36,25.36
1997-07-31,26.16,26.16,26.16,26.16
1997-08-01,26.42,26.42,26.42,26.42
1997-08-04,26.39,26.39,26.39,26.39
1997-08-05,26.02,26.02,26.02,26.02
1997-08-06,25.8,25.8,25.8,25.8
1997-08-07,25.42,25.42,25.42,25.42
1997-08-08,25.29,25.29,25.29,25.29
1997-08-11,25.35,25.35,25.35,25.35
1997-08-12,25.34,25.34,25.34,25.34
1997-08-13,25.46,25.46,25.46,25.46
1997-08-14,25.51,25.51,25.51,25.51
1997-08-15,25.51,25.51,25.51,25.51
1997-08-18,25.2,25.2,25.2,25.2
1997-08-19,25.25,25.25,25.25,25.25
1997-08-20,25.25,25.25,25.25,25.25
1997-08-21,25.3,25.3,25.3,25.3
1997-08-22,25.78,25.78,25.78,25.78
1997-08-26,26.01,26.01,26.01,26.01
1997-08-27,25.86,25.86,25.86,25.86
1997-08-28,25.84,25.84,25.84,25.84
1997-08-29,25.74,25.74,25.74,25.74
1997-09-01,25.99,25.99,25.99,25.99
1997-09-02,25.87,25.87,25.87,25.87
1997-09-03,25.72,25.72,25.72,25.72
1997-09-04,25.73,25.73,25.73,25.73
1997-09-05,25.66,25.66,25.66,25.66
1997-09-08,25.6,25.6,25.6,25.6
1997-09-09,25.53,25.53,25.53,25.53
1997-09-10,25.53,25.53,25.53,25.53
1997-09-11,25.51,25.51,25.51,25.51
1997-09-12,25.52,25.52,25.52,25.52
1997-09-15,25.51,25.51,25.51,25.51
1997-09-16,25.45,25.45,25.45,25.45
1997-09-17,25.52,25.52,25.52,25.52
1997-09-18,25.56,25.56,25.56,25.56
1997-09-19,25.6,25.6,25.6,25.6
1997-09-22,25.64,25.64,25.64,25.64
1997-09-23,25.68,25.68,25.68,25.68
1997-09-24,25.66,25.66,25.66,25.66
1997-09-25,25.59,25.59,25.59,25.59
1997-09-26,25.59,25.59,25.59,25.59
1997-09-29,25.53,25.53,25.53,25.53
1997-09-30,25.53,25.53,25.53,25.53
1997-10-01,25.52,25.52,25.52,25.52
1997-10-02,25.54,25.54,25.54,25.54
1997-10-03,25.48,25.48,25.48,25.48
1997-10-06,25.45,25.45,25.45,25.45
1997-10-07,25.43,25.43,25.43,25.43
1997-10-08,25.35,25.35,25.35,25.35
1997-10-09,25.33,25.33,25.33,25.33
1997-10-10,25.33,25.33,25.33,25.33
1997-10-13,25.28,25.28,25.28,25.28
1997-10-14,25.23,25.23,25.23,25.23
1997-10-15,25.23,25.23,25.23,25.23
1997-10-16,25.25,25.25,25.25,25.25
1997-10-17,25.23,25.23,25.23,25.23
1997-10-20,25.21,25.21,25.21,25.21
1997-10-21,25.18,25.18,25.18,25.18
1997-10-22,25.19,25.19,25.19,25.19
1997-10-23,25.2,25.2,25.2,25.2
1997-10-24,25.1,25.1,25.1,25.1
1997-10-27,25.08,25.08,25.08,25.08
1997-10-28,25.27,25.27,25.27,25.27
1997-10-29,25.35,25.35,25.35,25.35
1997-10-30,25.3,25.3,25.3,25.3
1997-10-31,25.28,25.28,25.28,25.28
1997-11-03,25.25,25.25,25.25,25.25
1997-11-04,25.21,25.21,25.21,25.21
1997-11-05,25.2,25.2,25.2,25.2
1997-11-06,25.2,25.2,25.2,25.2
1997-11-07,25.2,25.2,25.2,25.2
1997-11-10,25.2,25.2,25.2,25.2
1997-11-11,25.2,25.2,25.2,25.2
1997-11-12,25.15,25.15,25.15,25.15
1997-11-13,25.22,25.22,25.22,25.22
1997-11-14,25.24,25.24,25.24,25.24
1997-11-17,25.26,25.26,25.26,25.26
1997-11-18,25.23,25.23,25.23,25.23
1997-11-19,25.24,25.24,25.24,25.24
1997-11-20,25.25,25.25,25.25,25.25
1997-11-21,25.23,25.23,25.23,25.23
1997-11-24,25.3,25.3,25.3,25.3
1997-11-25,25.34,25.34,25.34,25.34
1997-11-26,25.43,25.43,25.43,25.43
1997-11-27,25.42,25.42,25.42,25.42
1997-11-28,25.43,25.43,25.43,25.43
1997-12-01,25.45,25.45,25.45,25.45
1997-12-02,25.43,25.43,25.43,25.43
1997-12-03,25.37,25.37,25.37,25.37
1997-12-04,25.38,25.38,25.38,25.38
1997-12-05,25.4,25.4,25.4,25.4
1997-12-08,25.4,25.4,25.4,25.4
1997-12-09,25.4,25.4,25.4,25.4
1997-12-10,25.47,25.47,25.47,25.47
1997-12-11,25.48,25.48,25.48,25.48
1997-12-12,25.45,25.45,25.45,25.45
1997-12-15,25.46,25.46,25.46,25.46
1997-12-16,25.48,25.48,25.48,25.48
1997-12-17,25.49,25.49,25.49,25.49
1997-12-18,25.53,25.53,25.53,25.53
1997-12-19,25.72,25.72,25.72,25.72
1997-12-22,25.78,25.78,25.78,25.78
1997-12-23,25.8,25.8,25.8,25.8
1997-12-24,25.75,25.75,25.75,25.75
1997-12-29,25.84,25.84,25.84,25.84
1997-12-30,25.97,25.97,25.97,25.97
1997-12-31,26.01,26.01,26.01,26.01
1998-01-02,26.01,26.01,26.01,26.01
1998-01-05,25.77,25.77,25.77,25.77
1998-01-06,25.67,25.67,25.67,25.67
1998-01-07,25.66,25.66,25.66,25.66
1998-01-08,25.65,25.65,25.65,25.65
1998-01-09,25.63,25.63,25.63,25.63
1998-01-12,25.68,25.68,25.68,25.68
1998-01-13,26.12,26.12,26.12,26.12
1998-01-14,25.96,25.96,25.96,25.96
1998-01-15,25.8,25.8,25.8,25.8
1998-01-16,25.9,25.9,25.9,25.9
1998-01-19,26.45,26.45,26.45,26.45
1998-01-20,26.15,26.15,26.15,26.15
1998-01-21,26.13,26.13,26.13,26.13
1998-01-22,26.03,26.03,26.03,26.03
1998-01-23,25.96,25.96,25.96,25.96
1998-01-26,25.95,25.95,25.95,25.95
1998-01-27,26,26,26,26
1998-01-28,26.27,26.27,26.27,26.27
1998-01-29,26.28,26.28,26.28,26.28
1998-01-30,26.3,26.3,26.3,26.3
1998-02-02,26.15,26.15,26.15,26.15
1998-02-03,25.95,25.95,25.95,25.95
1998-02-04,25.92,25.92,25.92,25.92
1998-02-05,25.98,25.98,25.98,25.98
1998-02-06,25.94,25.94,25.94,25.94
1998-02-09,25.59,25.59,25.59,25.59
1998-02-10,25.54,25.54,25.54,25.54
1998-02-11,25.47,25.47,25.47,25.47
1998-02-12,25.47,25.47,25.47,25.47
1998-02-13,25.48,25.48,25.48,25.48
1998-02-16,25.32,25.32,25.32,25.32
1998-02-17,25.06,25.06,25.06,25.06
1998-02-18,25.09,25.09,25.09,25.09
1998-02-19,24.87,24.87,24.87,24.87
1998-02-20,24.72,24.72,24.72,24.72
1998-02-23,24.33,24.33,24.33,24.33
1998-02-24,24.18,24.18,24.18,24.18
1998-02-25,24.09,24.09,24.09,24.09
1998-02-26,24.18,24.18,24.18,24.18
1998-02-27,24.33,24.33,24.33,24.33
1998-03-02,24.28,24.28,24.28,24.28
1998-03-03,24.38,24.38,24.38,24.38
1998-03-04,24.38,24.38,24.38,24.38
1998-03-05,24.36,24.36,24.36,24.36
1998-03-06,24.38,24.38,24.38,24.38
1998-03-09,24.41,24.41,24.41,24.41
1998-03-10,24.37,24.37,24.37,24.37
1998-03-11,24.35,24.35,24.35,24.35
1998-03-12,24.35,24.35,24.35,24.35
1998-03-13,24.34,24.34,24.34,24.34
1998-03-16,24.4,24.4,24.4,24.4
1998-03-17,24.41,24.41,24.41,24.41
1998-03-18,24.46,24.46,24.46,24.46
1998-03-19,24.55,24.55,24.55,24.55
1998-03-20,24.59,24.59,24.59,24.59
1998-03-23,24.6,24.6,24.6,24.6
1998-03-24,24.69,24.69,24.69,24.69
1998-03-25,24.74,24.74,24.74,24.74
1998-03-26,24.71,24.71,24.71,24.71
1998-03-27,24.7,24.7,24.7,24.7
1998-03-30,24.75,24.75,24.75,24.75
1998-03-31,24.77,24.77,24.77,24.77
1998-04-01,24.71,24.71,24.71,24.71
1998-04-02,24.69,24.69,24.69,24.69
1998-04-03,24.68,24.68,24.68,24.68
1998-04-06,24.65,24.65,24.65,24.65
1998-04-07,24.63,24.63,24.63,24.63
1998-04-08,24.64,24.64,24.64,24.64
1998-04-09,24.6,24.6,24.6,24.6
1998-04-14,24.55,24.55,24.55,24.55
1998-04-15,24.52,24.52,24.52,24.52
1998-04-16,24.53,24.53,24.53,24.53
1998-04-17,24.52,24.52,24.52,24.52
1998-04-20,24.48,24.48,24.48,24.48
1998-04-21,24.48,24.48,24.48,24.48
1998-04-22,24.3,24.3,24.3,24.3
1998-04-23,24,24,24,24
1998-04-24,23.99,23.99,23.99,23.99
1998-04-27,23.7,23.7,23.7,23.7
1998-04-28,23.7,23.7,23.7,23.7
1998-04-29,23.74,23.74,23.74,23.74
1998-04-30,23.66,23.66,23.66,23.66
1998-05-01,23.66,23.66,23.66,23.66
1998-05-05,23.58,23.58,23.58,23.58
1998-05-06,23.56,23.56,23.56,23.56
1998-05-07,23.54,23.54,23.54,23.54
1998-05-08,23.57,23.57,23.57,23.57
1998-05-11,23.55,23.55,23.55,23.55
1998-05-12,23.48,23.48,23.48,23.48
1998-05-13,23.46,23.46,23.46,23.46
1998-05-14,23.45,23.45,23.45,23.45
1998-05-15,23.42,23.42,23.42,23.42
1998-05-18,23.38,23.38,23.38,23.38
1998-05-19,23.33,23.33,23.33,23.33
1998-05-20,23.3,23.3,23.3,23.3
1998-05-21,22.28,22.28,22.28,22.28
1998-05-22,22.22,22.22,22.22,22.22
1998-05-26,21.98,21.98,21.98,21.98
1998-05-27,22.01,22.01,22.01,22.01
1998-05-28,22.02,22.02,22.02,22.02
1998-05-29,22.12,22.12,22.12,22.12
1998-06-01,22.15,22.15,22.15,22.15
1998-06-02,22.18,22.18,22.18,22.18
1998-06-03,22.16,22.16,22.16,22.16
1998-06-04,22.15,22.15,22.15,22.15
1998-06-05,22.1,22.1,22.1,22.1
1998-06-08,21.94,21.94,21.94,21.94
1998-06-09,21.9,21.9,21.9,21.9
1998-06-10,21.83,21.83,21.83,21.83
1998-06-11,21.83,21.83,21.83,21.83
1998-06-12,21.81,21.81,21.81,21.81
1998-06-15,21.83,21.83,21.83,21.83
1998-06-16,21.82,21.82,21.82,21.82
1998-06-17,21.71,21.71,21.71,21.71
1998-06-18,21.66,21.66,21.66,21.66
1998-06-19,21.82,21.82,21.82,21.82
1998-06-22,21.84,21.84,21.84,21.84
1998-06-23,21.85,21.85,21.85,21.85
1998-06-24,21.8,21.8,21.8,21.8
1998-06-25,21.69,21.69,21.69,21.69
1998-06-26,21.69,21.69,21.69,21.69
1998-06-29,21.71,21.71,21.71,21.71
1998-06-30,21.67,21.67,21.67,21.67
1998-07-01,21.64,21.64,21.64,21.64
1998-07-02,21.64,21.64,21.64,21.64
1998-07-03,21.65,21.65,21.65,21.65
1998-07-06,21.65,21.65,21.65,21.65
1998-07-07,21.65,21.65,21.65,21.65
1998-07-08,21.63,21.63,21.63,21.63
1998-07-09,21.64,21.64,21.64,21.64
1998-07-10,21.6,21.6,21.6,21.6
1998-07-13,21.58,21.58,21.58,21.58
1998-07-14,21.5,21.5,21.5,21.5
1998-07-15,21.36,21.36,21.36,21.36
1998-07-16,21.11,21.11,21.11,21.11
1998-07-17,20.04,20.04,20.04,20.04
1998-07-20,20.02,20.02,20.02,20.02
1998-07-21,20.03,20.03,20.03,20.03
1998-07-22,20.02,20.02,20.02,20.02
1998-07-23,20.01,20.01,20.01,20.01
1998-07-24,20,20,20,20
1998-07-27,19.96,19.96,19.96,19.96
1998-07-28,19.96,19.96,19.96,19.96
1998-07-29,19.94,19.94,19.94,19.94
1998-07-30,19.91,19.91,19.91,19.91
1998-07-31,19.9,19.9,19.9,19.9
1998-08-03,19.7,19.7,19.7,19.7
1998-08-04,19.54,19.54,19.54,19.54
1998-08-05,19.35,19.35,19.35,19.35
1998-08-06,19.32,19.32,19.32,19.32
1998-08-07,19.3,19.3,19.3,19.3
1998-08-10,19.21,19.21,19.21,19.21
1998-08-11,19.14,19.14,19.14,19.14
1998-08-12,19.09,19.09,19.09,19.09
1998-08-13,19.05,19.05,19.05,19.05
1998-08-14,19.02,19.02,19.02,19.02
1998-08-17,18.96,18.96,18.96,18.96
1998-08-18,18.93,18.93,18.93,18.93
1998-08-19,18.96,18.96,18.96,18.96
1998-08-20,19.06,19.06,19.06,19.06
1998-08-21,19.23,19.23,19.23,19.23
1998-08-24,19.3,19.3,19.3,19.3
1998-08-25,19.34,19.34,19.34,19.34
1998-08-26,19.43,19.43,19.43,19.43
1998-08-27,19.45,19.45,19.45,19.45
1998-08-28,19.48,19.48,19.48,19.48
1998-09-01,19.49,19.49,19.49,19.49
1998-09-02,19.42,19.42,19.42,19.42
1998-09-03,19.41,19.41,19.41,19.41
1998-09-04,19.41,19.41,19.41,19.41
1998-09-07,19.39,19.39,19.39,19.39
1998-09-08,19.39,19.39,19.39,19.39
1998-09-09,19.31,19.31,19.31,19.31
1998-09-10,18.4,18.4,18.4,18.4
1998-09-11,18.2,18.2,18.2,18.2
1998-09-14,18.14,18.14,18.14,18.14
1998-09-15,18.14,18.14,18.14,18.14
1998-09-16,18.12,18.12,18.12,18.12
1998-09-17,18.07,18.07,18.07,18.07
1998-09-18,18.06,18.06,18.06,18.06
1998-09-21,18.06,18.06,18.06,18.06
1998-09-22,18.06,18.06,18.06,18.06
